mlbid,fullname,firstname,lastname,position,priority_pos,projection_name,ip,w,sv,k,era,whip,w_zscore,sv_zscore,k_zscore,era_zscore,whip_zscore,unadjusted_zsum,replacement_pos,adjustment_zscore,final_zsum,value,hit_pitch
592329.0,Jason Garcia,Jason,Garcia,RP,RP,steamer,15.0,1.0,0.0,10.0,5.33,1.59,-1.1623427699240136,-0.6192333315455485,-1.595974887266177,1.253936585221752,1.3759376515139377,-0.7476767520000493,RP,-0.07979051039360607,-0.8274672623936554,-7.8,p
641646.0,Joe Gunkel,Joe,Gunkel,RP,RP,steamer,10.0,0.0,0.0,7.0,4.3,1.27,-1.4088484530890473,-0.6192333315455485,-1.65028454865247,1.439080183192923,1.543552745732383,-0.6957334043617598,RP,-0.07979051039360607,-0.7755239147553659,-7.3,p
622338.0,Jesus Liranzo,Jesus,Liranzo,RP,RP,steamer,10.0,0.0,0.0,9.0,4.81,1.56,-1.4088484530890473,-0.6192333315455485,-1.6140781077282746,1.4135258570859413,1.499957788491711,-0.7286762467852181,RP,-0.07979051039360607,-0.8084667571788242,-7.6,p
592170.0,Parker Bridwell,Parker,Bridwell,SP,SP,steamer,9.0,0.0,0.0,6.0,5.62,1.6,-1.4088484530890473,-0.6192333315455485,-1.6683877691145677,1.4010994396848995,1.5179970811430237,-0.7773730329212403,SP,0.6596060982602885,-0.11776693466095178,-0.3,p
519008.0,T.J. McFarland,T.J.,McFarland,RP,RP,steamer,1.0,0.0,0.0,1.0,4.12,1.44,-1.4088484530890473,-0.6192333315455485,-1.7589038714250558,1.6338943398673242,1.7128214417771985,-0.44026987441512877,RP,-0.07979051039360607,-0.5200603848087348,-4.6,p
502139.0,Josh Stinson,Josh,Stinson,RP,RP,steamer,1.0,0.0,0.0,1.0,4.47,1.4,-1.4088484530890473,-0.6192333315455485,-1.7589038714250558,1.6321406116050803,1.7134227515322422,-0.44142229292232904,RP,-0.07979051039360607,-0.5212128033159351,-4.6,p
446185.0,Logan Ondrusek,Logan,Ondrusek,RP,RP,steamer,1.0,0.0,0.0,1.0,4.52,1.39,-1.4088484530890473,-0.6192333315455485,-1.7589038714250558,1.6318900789961885,1.7135730789710033,-0.4415224980924597,RP,-0.07979051039360607,-0.5213130084860658,-4.6,p
474699.0,Vance Worley,Vance,Worley,RP,RP,steamer,1.0,0.0,0.0,1.0,4.64,1.41,-1.4088484530890473,-0.6192333315455485,-1.7589038714250558,1.6312888007348478,1.7132724240934813,-0.44242443123132236,RP,-0.07979051039360607,-0.5222149416249284,-4.6,p
519242.0,Chris Sale,Chris,Sale,SP,SP,steamer,213.0,15.0,0.0,221.0,3.5,1.13,2.2887367943864594,-0.6192333315455485,2.223804630236424,-2.0809029717393526,-1.8837625305782293,-0.07135740924024714,SP,0.6596060982602885,0.5882486890200413,7.3,p
519144.0,Rick Porcello,Rick,Porcello,SP,SP,steamer,196.0,13.0,0.0,160.0,4.0,1.23,1.7957254280563921,-0.6192333315455485,1.1195081820484682,-2.273813080586175,-1.889625300689906,-1.8674381027167692,SP,0.6596060982602885,-1.2078320044564808,-11.9,p
